seed,node,numArrivals,numDepartures,avgQueueLength,avgWaitTime,avgResponse,busyTime,waitTime,unavailableTime,responseTime,lastEventTime,troughput,utilization,unavailable
951763341,Source,10000.0,10000.0,1.0,0.0,4.566622620959705,45666.22620959704,0.0,0.0,45666.22620959704,45666.22620959704,0.21898021426387182,1.0,0.0
773533283,Queue Wait,10000.0,10000.0,5.677100000000017,18.240781032355507,21.43543853634958,31946.575039940697,182407.81032355508,8367.128775500807,214354.3853634958,45001.56448293185,0.22221449664917295,0.7098992092165455,0.18592973092467227
773533283,Queue,10000.0,10000.0,2.6790000000000034,4.246034002716619,7.445357524932738,31993.235222161187,42460.34002716619,0.0,74453.57524932738,44992.48989629865,0.2222593153445962,0.7110794556136166,0.0
773533283,Source,10000.0,10000.0,1.0,0.0,4.498989443072925,44989.89443072925,0.0,0.0,44989.89443072925,44989.89443072925,0.22227213747738303,1.0,0.0
110063455,Queue Wait,10000.0,10000.0,6.633800000000022,22.10430060883521,25.316716862839378,32124.162540041703,221043.0060883521,8450.699652061216,253167.1686283938,45119.191778498585,0.22163517576051683,0.7119844410721554,0.1872972302683926
110063455,Queue,10000.0,10000.0,2.6025000000000014,4.040698711355139,7.245882081028961,32051.833696738227,40406.98711355139,0.0,72458.82081028962,45066.90552309711,0.22189231507974133,0.7112055581520109,0.0
110063455,Source,10000.0,10000.0,1.0,0.0,4.506046962723941,45060.469627239414,0.0,0.0,45060.469627239414,45060.469627239414,0.22192400751089641,1.0,0.0
128433025,Queue Wait,10000.0,10000.0,9.829199999999977,35.673033498992126,38.88150616429855,32084.72665306424,356730.33498992125,8833.37793850455,388815.0616429855,44225.011273432036,0.22611639233221523,0.7254882639756157,0.19973715515616292
128433025,Queue,10000.0,10000.0,2.6846000000000094,4.289434614698534,7.487385077332528,31979.50462633994,42894.346146985336,0.0,74873.85077332528,44210.61953527909,0.22618999926070302,0.723344412778948,0.0
128433025,Source,10000.0,10000.0,1.0,0.0,4.420485534256747,44204.85534256746,0.0,0.0,44204.85534256746,44204.85534256746,0.22621949382040868,1.0,0.0
851165915,Queue Wait,10000.0,10000.0,4.824400000000031,14.78762447180297,17.99197853989836,32043.540680953898,147876.2447180297,8540.232020674059,179919.7853989836,45527.89179692569,0.21964557560899975,0.7038221937418518,0.18758241780153645
851165915,Queue,10000.0,10000.0,2.5863999999999923,4.00092863694991,7.20098575398294,32000.57117033031,40009.286369499096,0.0,72009.8575398294,45518.722126018256,0.21968982284509375,0.7030199811351681,0.0
851165915,Source,10000.0,10000.0,1.0,0.0,4.551585075125288,45515.85075125289,0.0,0.0,45515.85075125289,45515.85075125289,0.21970368201290263,1.0,0.0
389534372,Queue Wait,10000.0,10000.0,5.883499999999999,18.95107272158398,22.152890382193675,32018.17660609694,189510.7272158398,8182.453373686289,221528.90382193675,44674.88745140703,0.22383939995096847,0.7166929439032875,0.18315554532927164
389534372,Queue,10000.0,10000.0,2.5899999999999945,3.977750116496685,7.1644607576783015,31867.106411816167,39777.50116496685,0.0,71644.60757678302,44664.35747198538,0.223892171879384,0.7134795666052965,0.0
389534372,Source,10000.0,10000.0,1.0,0.0,4.46552391644599,44655.239164459905,0.0,0.0,44655.239164459905,44655.239164459905,0.2239378891952901,1.0,0.0
1356917311,Queue Wait,10000.0,10000.0,6.0078,19.318081962213963,22.507785300286805,31897.033380728448,193180.81962213962,8343.45418009476,225077.85300286807,44123.18602594627,0.22663821225692052,0.7229086621707613,0.18909455394242072
1356917311,Queue,10000.0,10000.0,2.6758000000000166,4.224081277074457,7.4181514551225645,31940.701780481075,42240.81277074457,0.0,74181.51455122564,44075.922787993986,0.22688123963053905,0.7246746014624912,0.0
1356917311,Source,10000.0,10000.0,1.0,0.0,4.406633581866723,44066.335818667234,0.0,0.0,44066.335818667234,44066.335818667234,0.2269305993842999,1.0,0.0
53890025,Queue Wait,10000.0,10000.0,5.063400000000015,15.610547645281066,18.808842306258793,31982.946609777242,156105.47645281066,8334.208976430364,188088.4230625879,45602.30083061899,0.2192871810820047,0.7013450204754311,0.18275851929897544
53890025,Queue,10000.0,10000.0,2.5881999999999956,3.988276718068162,7.188442270699813,32001.655526316506,39882.76718068162,0.0,71884.42270699813,45596.489675422956,0.21931512866855885,0.7018447199361002,0.0
53890025,Source,10000.0,10000.0,1.0,0.0,4.559310403683327,45593.10403683327,0.0,0.0,45593.10403683327,45593.10403683327,0.21933141450341498,1.0,0.0
1982046305,Queue Wait,10000.0,10000.0,5.411199999999984,17.043608973338877,20.243596603478434,31999.87630139557,170436.08973338877,8396.134663022718,202435.96603478433,44673.88590005527,0.22384441824407372,0.7162993694568213,0.18794278791432223
1982046305,Queue,10000.0,10000.0,2.6454000000000018,4.147332791302957,7.34952277191653,32021.899806135727,41473.32791302957,0.0,73495.2277191653,44632.277404215,0.22405309747997795,0.7174605838758215,0.0
1982046305,Source,10000.0,10000.0,1.0,0.0,4.462386465100258,44623.86465100258,0.0,0.0,44623.86465100258,44623.86465100258,0.2240953372866446,1.0,0.0
2027407973,Queue Wait,10000.0,10000.0,7.603899999999996,26.102233760359336,29.3052429400327,32030.091796733617,261022.33760359336,8563.808334526717,293052.429400327,45085.20537205578,0.22180225015007007,0.7104346433028818,0.18994719584519498
2027407973,Queue,10000.0,10000.0,2.6108999999999902,4.073738696949144,7.286625575341534,32128.8687839239,40737.38696949145,0.0,72866.25575341535,45075.67715616252,0.22184913529652545,0.7127761757769046,0.0
2027407973,Source,10000.0,10000.0,1.0,0.0,4.506953859733675,45069.538597336745,0.0,0.0,45069.538597336745,45069.538597336745,0.22187935158029157,1.0,0.0
795560736,Queue Wait,10000.0,10000.0,7.323699999999972,24.824042850436157,28.02188840217077,31978.45551734613,248240.42850436157,8181.9658716024405,280218.8840217077,44530.78689467229,0.2245637388724521,0.7181201534341641,0.18373728474538453
795560736,Queue,10000.0,10000.0,2.6420999999999943,4.138288218720873,7.33566266860887,31973.744498879965,41382.88218720873,0.0,73356.6266860887,44524.817140586805,0.22459384770576526,0.7181106302564497,0.0
795560736,Source,10000.0,10000.0,1.0,0.0,4.4521739770371465,44521.73977037147,0.0,0.0,44521.73977037147,44521.73977037147,0.2246093717715597,1.0,0.0
